symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,75,20,0.236,0.486,0.002,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,75,20,0.236,0.486,0.005,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,75,20,0.236,0.486,0.002,0.07,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,75,20,0.236,0.486,0.005,0.07,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,80,20,0.236,0.486,0.002,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,80,20,0.236,0.486,0.005,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,80,20,0.236,0.486,0.002,0.07,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,80,20,0.236,0.486,0.005,0.07,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,85,20,0.236,0.486,0.002,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,85,20,0.236,0.486,0.005,0.068,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,85,20,0.236,0.486,0.002,0.07,21,3.767175089026941,12,0.5,3139.3125741891167
AVAX/USDT,85,20,0.236,0.486,0.005,0.07,21,3.767175089026941,12,0.5,3139.3125741891167
SOL/USDT,30,20,0.236,0.486,0.002,0.013,14,3.7418521720895352,12,0.4166666666666667,3118.2101434079464
SOL/USDT,30,20,0.236,0.486,0.005,0.013,14,3.7418521720895352,12,0.4166666666666667,3118.2101434079464
AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,3.5558405677445872,12,0.5,2963.2004731204893
AVAX/USDT,35,20,0.236,0.436,0.005,0.068,21,3.5558405677445872,12,0.5,2963.2004731204893
AVAX/USDT,35,20,0.236,0.436,0.002,0.07,21,3.5558405677445872,12,0.5,2963.2004731204893
AVAX/USDT,35,20,0.236,0.436,0.005,0.07,21,3.5558405677445872,12,0.5,2963.2004731204893
AVAX/USDT,55,20,0.236,0.536,0.002,0.068,21,3.7883293635658672,13,0.3846153846153846,2914.0995104352824
AVAX/USDT,55,20,0.236,0.536,0.005,0.068,21,3.7883293635658672,13,0.3846153846153846,2914.0995104352824
AVAX/USDT,55,20,0.236,0.536,0.002,0.07,21,3.7883293635658672,13,0.3846153846153846,2914.0995104352824
AVAX/USDT,55,20,0.236,0.536,0.005,0.07,21,3.7883293635658672,13,0.3846153846153846,2914.0995104352824
AVAX/USDT,40,20,0.236,0.486,0.002,0.068,21,3.762212549168626,13,0.4615384615384615,2894.0096532066354
AVAX/USDT,40,20,0.236,0.486,0.005,0.068,21,3.762212549168626,13,0.4615384615384615,2894.0096532066354
AVAX/USDT,40,20,0.236,0.486,0.002,0.07,21,3.762212549168626,13,0.4615384615384615,2894.0096532066354
AVAX/USDT,40,20,0.236,0.486,0.005,0.07,21,3.762212549168626,13,0.4615384615384615,2894.0096532066354
AVAX/USDT,65,20,0.236,0.536,0.002,0.068,21,3.749923352263328,13,0.3846153846153846,2884.5564248179444
AVAX/USDT,65,20,0.236,0.536,0.005,0.068,21,3.749923352263328,13,0.3846153846153846,2884.5564248179444
AVAX/USDT,65,20,0.236,0.536,0.002,0.07,21,3.749923352263328,13,0.3846153846153846,2884.5564248179444
AVAX/USDT,65,20,0.236,0.536,0.005,0.07,21,3.749923352263328,13,0.3846153846153846,2884.5564248179444
AVAX/USDT,45,20,0.236,0.536,0.002,0.068,21,3.7459608124050137,13,0.3846153846153846,2881.508317234626
AVAX/USDT,45,20,0.236,0.536,0.005,0.068,21,3.7459608124050137,13,0.3846153846153846,2881.508317234626
AVAX/USDT,45,20,0.236,0.536,0.002,0.07,21,3.7459608124050137,13,0.3846153846153846,2881.508317234626
AVAX/USDT,45,20,0.236,0.536,0.005,0.07,21,3.7459608124050137,13,0.3846153846153846,2881.508317234626
SOL/USDT,30,20,0.236,0.486,0.041,0.013,8,3.739799128284066,13,0.3846153846153846,2876.7685602185124
AVAX/USDT,50,20,0.236,0.536,0.002,0.068,21,3.721198565928058,13,0.3846153846153846,2862.4604353292752
AVAX/USDT,50,20,0.236,0.536,0.005,0.068,21,3.721198565928058,13,0.3846153846153846,2862.4604353292752
AVAX/USDT,50,20,0.236,0.536,0.002,0.07,21,3.721198565928058,13,0.3846153846153846,2862.4604353292752
AVAX/USDT,50,20,0.236,0.536,0.005,0.07,21,3.721198565928058,13,0.3846153846153846,2862.4604353292752
AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,3.537574938716292,13,0.4615384615384615,2721.2114913202245
AVAX/USDT,30,20,0.236,0.436,0.005,0.068,21,3.537574938716292,13,0.4615384615384615,2721.2114913202245
AVAX/USDT,30,20,0.236,0.436,0.002,0.07,21,3.537574938716292,13,0.4615384615384615,2721.2114913202245
AVAX/USDT,30,20,0.236,0.436,0.005,0.07,21,3.537574938716292,13,0.4615384615384615,2721.2114913202245
SOL/USDT,30,20,0.236,0.486,0.002,0.023,14,4.553098810070159,17,0.4117647058823529,2678.2934176883286
AVAX/USDT,60,20,0.236,0.536,0.002,0.068,21,3.748923352263328,14,0.3571428571428571,2677.8023944738056
AVAX/USDT,60,20,0.236,0.536,0.005,0.068,21,3.748923352263328,14,0.3571428571428571,2677.8023944738056
AVAX/USDT,60,20,0.236,0.536,0.002,0.07,21,3.748923352263328,14,0.3571428571428571,2677.8023944738056
AVAX/USDT,60,20,0.236,0.536,0.005,0.07,21,3.748923352263328,14,0.3571428571428571,2677.8023944738056
AVAX/USDT,90,20,0.236,0.536,0.002,0.068,21,3.7286435814803167,14,0.3571428571428571,2663.316843914512
AVAX/USDT,90,20,0.236,0.536,0.005,0.068,21,3.7286435814803167,14,0.3571428571428571,2663.316843914512
AVAX/USDT,90,20,0.236,0.536,0.002,0.07,21,3.7286435814803167,14,0.3571428571428571,2663.316843914512
AVAX/USDT,90,20,0.236,0.536,0.005,0.07,21,3.7286435814803167,14,0.3571428571428571,2663.316843914512
SOL/USDT,30,20,0.236,0.486,0.038,0.013,8,3.6993565914567808,14,0.3571428571428571,2642.397565326272
AVAX/USDT,70,20,0.236,0.536,0.002,0.068,21,3.699131950940949,14,0.3571428571428571,2642.237107814964
AVAX/USDT,70,20,0.236,0.536,0.005,0.068,21,3.699131950940949,14,0.3571428571428571,2642.237107814964
AVAX/USDT,70,20,0.236,0.536,0.002,0.07,21,3.699131950940949,14,0.3571428571428571,2642.237107814964
AVAX/USDT,70,20,0.236,0.536,0.005,0.07,21,3.699131950940949,14,0.3571428571428571,2642.237107814964
SOL/USDT,35,20,0.236,0.486,0.041,0.013,8,3.69308297352609,14,0.3571428571428571,2637.9164096614927
SOL/USDT,40,20,0.236,0.486,0.041,0.013,8,3.69308297352609,14,0.3571428571428571,2637.9164096614927
SOL/USDT,35,20,0.236,0.486,0.002,0.013,14,3.661250052118972,14,0.3571428571428571,2615.178608656409
SOL/USDT,35,20,0.236,0.486,0.005,0.013,14,3.661250052118972,14,0.3571428571428571,2615.178608656409
SOL/USDT,40,20,0.236,0.486,0.002,0.013,14,3.661250052118972,14,0.3571428571428571,2615.178608656409
SOL/USDT,40,20,0.236,0.486,0.005,0.013,14,3.661250052118972,14,0.3571428571428571,2615.178608656409
SOL/USDT,30,20,0.236,0.486,0.002,0.028,14,4.523641417028086,18,0.3888888888888889,2513.134120571159
AVAX/USDT,75,20,0.236,0.536,0.002,0.068,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,75,20,0.236,0.536,0.005,0.068,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,75,20,0.236,0.536,0.002,0.07,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,75,20,0.236,0.536,0.005,0.07,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,80,20,0.236,0.536,0.002,0.068,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,80,20,0.236,0.536,0.005,0.068,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,80,20,0.236,0.536,0.002,0.07,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,80,20,0.236,0.536,0.005,0.07,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,85,20,0.236,0.536,0.002,0.068,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,85,20,0.236,0.536,0.005,0.068,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,85,20,0.236,0.536,0.002,0.07,21,3.76417508902694,15,0.4,2509.450059351293
AVAX/USDT,85,20,0.236,0.536,0.005,0.07,21,3.76417508902694,15,0.4,2509.450059351293
SOL/USDT,90,20,0.236,0.486,0.026,0.028,8,4.233350287452194,17,0.3529411764705882,2490.2060514424675
SOL/USDT,85,20,0.236,0.486,0.026,0.028,8,4.2274716396138405,17,0.3529411764705882,2486.7480233022598
SOL/USDT,30,20,0.236,0.486,0.005,0.023,14,4.199219851576895,17,0.3529411764705882,2470.129324456997
AVAX/USDT,40,20,0.236,0.536,0.002,0.068,21,3.836377970668661,16,0.4375,2397.736231667913
AVAX/USDT,40,20,0.236,0.536,0.005,0.068,21,3.836377970668661,16,0.4375,2397.736231667913
AVAX/USDT,40,20,0.236,0.536,0.002,0.07,21,3.836377970668661,16,0.4375,2397.736231667913
AVAX/USDT,40,20,0.236,0.536,0.005,0.07,21,3.836377970668661,16,0.4375,2397.736231667913
SOL/USDT,35,20,0.236,0.486,0.002,0.023,14,4.472496690099596,19,0.3684210526315789,2353.945626368208
SOL/USDT,35,20,0.236,0.486,0.002,0.028,14,4.472496690099596,19,0.3684210526315789,2353.945626368208
AVAX/USDT,35,20,0.236,0.486,0.002,0.068,21,3.681051963610073,16,0.4375,2300.657477256296
AVAX/USDT,35,20,0.236,0.486,0.005,0.068,21,3.681051963610073,16,0.4375,2300.657477256296
AVAX/USDT,35,20,0.236,0.486,0.002,0.07,21,3.681051963610073,16,0.4375,2300.657477256296
AVAX/USDT,35,20,0.236,0.486,0.005,0.07,21,3.681051963610073,16,0.4375,2300.657477256296
AVAX/USDT,30,20,0.236,0.486,0.002,0.068,21,3.6637863345817774,16,0.4375,2289.8664591136107
AVAX/USDT,30,20,0.236,0.486,0.005,0.068,21,3.6637863345817774,16,0.4375,2289.8664591136107
AVAX/USDT,30,20,0.236,0.486,0.002,0.07,21,3.6637863345817774,16,0.4375,2289.8664591136107
AVAX/USDT,30,20,0.236,0.486,0.005,0.07,21,3.6637863345817774,16,0.4375,2289.8664591136107
SOL/USDT,30,20,0.236,0.486,0.002,0.033,14,4.443098691436829,20,0.35,2221.5493457184143
AVAX/USDT,30,20,0.236,0.536,0.002,0.068,21,3.6863264027640703,17,0.4117647058823529,2168.427295743571
AVAX/USDT,30,20,0.236,0.536,0.002,0.07,21,3.6863264027640703,17,0.4117647058823529,2168.427295743571
AVAX/USDT,30,20,0.236,0.536,0.005,0.068,21,3.662786334581777,17,0.4117647058823529,2154.5801968128103
AVAX/USDT,30,20,0.236,0.536,0.005,0.07,21,3.662786334581777,17,0.4117647058823529,2154.5801968128103
AVAX/USDT,35,20,0.236,0.536,0.002,0.068,21,3.702592031792367,18,0.3888888888888889,2056.995573217981
AVAX/USDT,35,20,0.236,0.536,0.002,0.07,21,3.702592031792367,18,0.3888888888888889,2056.995573217981
AVAX/USDT,35,20,0.236,0.536,0.005,0.068,21,3.679051963610074,18,0.3888888888888889,2043.917757561152
AVAX/USDT,35,20,0.236,0.536,0.005,0.07,21,3.679051963610074,18,0.3888888888888889,2043.917757561152
AVAX/USDT,40,20,0.236,0.586,0.002,0.068,21,3.7820289781681296,19,0.3684210526315789,1990.5415674569108
AVAX/USDT,40,20,0.236,0.586,0.005,0.068,21,3.7820289781681296,19,0.3684210526315789,1990.5415674569108
AVAX/USDT,40,20,0.236,0.586,0.002,0.07,21,3.7820289781681296,19,0.3684210526315789,1990.5415674569108
AVAX/USDT,40,20,0.236,0.586,0.005,0.07,21,3.7820289781681296,19,0.3684210526315789,1990.5415674569108
AVAX/USDT,35,20,0.236,0.586,0.002,0.068,21,3.7357609963307135,19,0.3684210526315789,1966.189998068797
AVAX/USDT,35,20,0.236,0.586,0.002,0.07,21,3.7357609963307135,19,0.3684210526315789,1966.189998068797
AVAX/USDT,35,20,0.236,0.586,0.005,0.068,21,3.712220928148421,19,0.3684210526315789,1953.800488499169
AVAX/USDT,35,20,0.236,0.586,0.005,0.07,21,3.712220928148421,19,0.3684210526315789,1953.800488499169
AVAX/USDT,30,20,0.236,0.586,0.002,0.068,21,3.628029084058098,19,0.3684210526315789,1909.488991609525
AVAX/USDT,30,20,0.236,0.586,0.002,0.07,21,3.628029084058098,19,0.3684210526315789,1909.488991609525
AVAX/USDT,40,20,0.236,0.636,0.002,0.068,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.636,0.005,0.068,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.636,0.002,0.07,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.636,0.005,0.07,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.686,0.002,0.068,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.686,0.005,0.068,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.686,0.002,0.07,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,40,20,0.236,0.686,0.005,0.07,21,3.7990670868682095,20,0.35,1899.5335434341048
AVAX/USDT,30,20,0.236,0.586,0.005,0.068,21,3.6044890158758047,19,0.3684210526315789,1897.099482039897
AVAX/USDT,30,20,0.236,0.586,0.005,0.07,21,3.6044890158758047,19,0.3684210526315789,1897.099482039897
AVAX/USDT,35,20,0.236,0.636,0.002,0.068,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.636,0.002,0.07,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.686,0.002,0.068,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.686,0.002,0.07,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.736,0.002,0.068,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.736,0.002,0.07,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.786,0.002,0.068,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.786,0.002,0.07,21,3.7347609963307145,20,0.35,1867.380498165357
AVAX/USDT,35,20,0.236,0.636,0.005,0.068,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.636,0.005,0.07,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.686,0.005,0.068,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.686,0.005,0.07,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.736,0.005,0.068,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.736,0.005,0.07,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.786,0.005,0.068,21,3.711220928148421,20,0.35,1855.6104640742103
AVAX/USDT,35,20,0.236,0.786,0.005,0.07,21,3.711220928148421,20,0.35,1855.6104640742103
SOL/USDT,40,20,0.236,0.486,0.014,0.028,8,4.378842710291821,24,0.375,1824.5177959549253
SOL/USDT,40,20,0.236,0.486,0.008,0.028,8,4.363819121461839,24,0.375,1818.2579672757663
SOL/USDT,40,20,0.236,0.486,0.011,0.028,8,4.363819121461839,24,0.375,1818.2579672757663
SOL/USDT,30,20,0.236,0.486,0.014,0.028,8,4.423558865049796,25,0.36,1769.4235460199186
SOL/USDT,30,20,0.236,0.486,0.011,0.028,8,4.408535276219815,25,0.36,1763.414110487926
SOL/USDT,35,20,0.236,0.486,0.014,0.028,8,4.37784271029182,25,0.36,1751.137084116728
SOL/USDT,35,20,0.236,0.486,0.011,0.028,8,4.362819121461839,25,0.36,1745.1276485847357
SOL/USDT,40,20,0.236,0.486,0.005,0.028,8,4.33754388165644,25,0.36,1735.017552662576
SOL/USDT,65,20,0.236,0.386,0.02,0.043,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,65,20,0.236,0.386,0.02,0.048,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,65,20,0.236,0.386,0.02,0.053,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,65,20,0.236,0.386,0.02,0.058,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,65,20,0.236,0.386,0.02,0.063,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,65,20,0.236,0.386,0.02,0.068,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,65,20,0.236,0.386,0.02,0.07,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.043,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.048,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.053,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.058,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.063,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.068,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,70,20,0.236,0.386,0.02,0.07,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.043,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.048,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.053,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.058,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.063,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.068,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,80,20,0.236,0.386,0.02,0.07,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.043,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.048,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.053,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.058,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.063,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.068,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,85,20,0.236,0.386,0.02,0.07,8,1.654372660490356,12,0.5,1378.6438837419637
SOL/USDT,30,20,0.236,0.386,0.02,0.043,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,30,20,0.236,0.386,0.02,0.048,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,30,20,0.236,0.386,0.02,0.053,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,30,20,0.236,0.386,0.02,0.058,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,30,20,0.236,0.386,0.02,0.063,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,30,20,0.236,0.386,0.02,0.068,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,30,20,0.236,0.386,0.02,0.07,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.043,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.048,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.053,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.058,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.063,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.068,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,35,20,0.236,0.386,0.02,0.07,12,1.6432568887465837,12,0.4166666666666667,1369.380740622153
SOL/USDT,65,20,0.236,0.386,0.014,0.043,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,65,20,0.236,0.386,0.017,0.043,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,65,20,0.236,0.386,0.014,0.048,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,65,20,0.236,0.386,0.017,0.048,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,65,20,0.236,0.386,0.014,0.053,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,65,20,0.236,0.386,0.017,0.053,8,1.636001390349506,12,0.5,1363.3344919579215
